######################################## User Management System log All Trace #########################################
2020/10/13 00:31:07.425 [TRACE] [UMS.Program]  Program.cs:27 | Starting Program.
2020/10/13 00:31:08.905 [INFO] [Microsoft.Hosting.Lifetime]   | Now listening on: https://localhost:44346
2020/10/13 00:31:09.100 [INFO] [Microsoft.Hosting.Lifetime]   | Application started. Press Ctrl+C to shut down.
2020/10/13 00:31:09.100 [INFO] [Microsoft.Hosting.Lifetime]   | Hosting environment: Development
2020/10/13 00:31:09.106 [INFO] [Microsoft.Hosting.Lifetime]   | Content root path: C:\Users\Namchok\Desktop\สหกิจ\ums\UMS
2020/10/13 00:31:09.793 [TRACE] [UMS.Data.AuthDbContext]  AuthDbContext.cs:28 | Start application context.
2020/10/13 00:31:09.793 [TRACE] [UMS.Controllers.ManageUserController]  ManageUserController.cs:34 | Start manage user controller.
2020/10/13 00:31:09.793 [DEBUG] [UMS.Areas.Identity.Pages.Account.LoginModel]  Login.cshtml.cs:51 | Start login model.
2020/10/13 00:31:09.829 [TRACE] [UMS.Areas.Identity.Pages.Account.LoginModel]  Login.cshtml.cs:102 | Start login on get.
2020/10/13 00:31:09.829 [TRACE] [UMS.Areas.Identity.Pages.Account.LoginModel]  Login.cshtml.cs:115 | Signing out.
2020/10/13 00:31:09.829 [DEBUG] [UMS.Areas.Identity.Pages.Account.LoginModel]  Login.cshtml.cs:117 | Getting external authentication scheme.
2020/10/13 00:31:09.840 [TRACE] [UMS.Areas.Identity.Pages.Account.LoginModel]  Login.cshtml.cs:120 | End login on get.
2020/10/13 00:31:15.199 [TRACE] [UMS.Data.AuthDbContext]  AuthDbContext.cs:28 | Start application context.
2020/10/13 00:31:15.202 [DEBUG] [UMS.Areas.Identity.Pages.Account.RegisterModel]  Register.cshtml.cs:50 | Start Register model.
2020/10/13 00:31:15.202 [TRACE] [UMS.Areas.Identity.Pages.Account.RegisterModel]  Register.cshtml.cs:112 | Getting external login.
2020/10/13 00:31:15.202 [TRACE] [UMS.Areas.Identity.Pages.Account.RegisterModel]  Register.cshtml.cs:114 | Register on get.
2020/10/13 00:31:16.871 [TRACE] [UMS.Data.AuthDbContext]  CheckUserExist:AuthDbContext.cs:28 | Start application context.
2020/10/13 00:31:16.873 [TRACE] [UMS.Controllers.ManageUserController]  CheckUserExist:ManageUserController.cs:34 | Start manage user controller.
2020/10/13 00:31:16.873 [TRACE] [UMS.Controllers.ManageUserController]  CheckUserExist:ManageUserController.cs:204 | Start checking user.
2020/10/13 00:31:17.753 [DEBUG] [UMS.Controllers.ManageUserController]  CheckUserExist:ManageUserController.cs:207 | Checking user.
2020/10/13 00:31:17.753 [INFO] [UMS.Controllers.ManageUserController]  CheckUserExist:ManageUserController.cs:208 | Detected 1 users.
2020/10/13 00:31:17.763 [TRACE] [UMS.Controllers.ManageUserController]  CheckUserExist:ManageUserController.cs:209 | End check user is exist.
2020/10/13 00:31:23.724 [TRACE] [UMS.Data.AuthDbContext]  CheckUserExist:AuthDbContext.cs:28 | Start application context.
2020/10/13 00:31:23.724 [TRACE] [UMS.Controllers.ManageUserController]  CheckUserExist:ManageUserController.cs:34 | Start manage user controller.
2020/10/13 00:31:23.724 [TRACE] [UMS.Controllers.ManageUserController]  CheckUserExist:ManageUserController.cs:204 | Start checking user.
2020/10/13 00:31:23.740 [DEBUG] [UMS.Controllers.ManageUserController]  CheckUserExist:ManageUserController.cs:207 | Checking user.
